,Name,Localization,Distance to center,Score,Experiences number,Links
718,Mercure Paris Vaugirard Porte De Versailles,"15th arr., Paris",3.1 miles,9.0,533 reviews,https://www.booking.com//hotel/fr/mercure-porte-de-versailles-vaugirard.html?from=searchresults;#hotelTmpl
719,Hôtel Média,"13th arr., Paris",1.4 miles,8.8,"1,252 reviews",https://www.booking.com//hotel/fr/media-paris.html?from=searchresults;#hotelTmpl
720,La Réserve Paris Apartments,"16th arr., Paris",3 miles,9.0,17 reviews,https://www.booking.com//hotel/fr/la-reserve-paris-apartments.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
721,Hôtel Des Deux-Iles - Notre-Dame,"4th arr., Paris","1,800 feet",9.2,163 reviews,https://www.booking.com//hotel/fr/des-deux-iles.html?from=searchresults;#hotelTmpl
722,Pick a Flat - Eiffel Tower / Champs de Mars apartments,"15th arr., Paris",2.5 miles,8.3,59 reviews,https://www.booking.com//hotel/fr/pick-a-flat-eiffel-tower-47-champs-de-mars-apartments-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
723,Hotel Devillas,"5th arr., Paris",1.2 miles,7.2,147 reviews,https://www.booking.com//hotel/fr/devillas.html?from=searchresults;#hotelTmpl
724,Hôtel Raphael,"16th arr., Paris",2.8 miles,9.0,694 reviews,https://www.booking.com//hotel/fr/raphael.html?from=searchresults;#hotelTmpl
725,Private Apartment - Louvre - Tuileries Gardens,"1st arr., Paris",1.1 miles,8.2,65 reviews,https://www.booking.com//hotel/fr/private-apartment-louvre-tuileries-186.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
726,Sully Saint Paul,"4th arr., Paris","2,800 feet",7.6,"1,034 reviews",https://www.booking.com//hotel/fr/apartment-duplex-st-paul-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
727,Paris Marriott Rive Gauche Hotel & Conference Center,"14th arr., Paris",1.8 miles,8.5,"1,283 reviews",https://www.booking.com//hotel/fr/paris-marriott-rive-gauche-conference-center.html?from=searchresults;#hotelTmpl
728,Best Western Empire Elysees,"17th arr., Paris",3 miles,8.6,82 reviews,https://www.booking.com//hotel/fr/best-western-empire-elysees.html?from=searchresults;#hotelTmpl
729,Park Hyatt Paris Vendome,"2nd arr., Paris",1.3 miles,8.4,79 reviews,https://www.booking.com//hotel/fr/park-hyatt-paris-vendome.html?from=searchresults;#hotelTmpl
730,Chez Claire & Laurent,"9th arr., Paris",1.8 miles,8.5,275 reviews,https://www.booking.com//hotel/fr/chez-claire-amp-laurent.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
731,Levis Charming Place,"17th arr., Paris",2.5 miles,8.5,"2,938 reviews",https://www.booking.com//hotel/fr/levis-charming-place.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
732,Est Hotel,"10th arr., Paris",1.2 miles,8.4,758 reviews,https://www.booking.com//hotel/fr/esthotelparis.html?from=searchresults;#hotelTmpl
733,Hotel Istria,"14th arr., Paris",1.5 miles,7.1,"1,691 reviews",https://www.booking.com//hotel/fr/hotelistria.html?from=searchresults;#hotelTmpl
734,Chez Oscar Apart’hôtel Champs Elysées,"8th arr., Paris",2.3 miles,8.0,"5,582 reviews",https://www.booking.com//hotel/fr/oscar.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
735,Citadines Maine Montparnasse Paris,"14th arr., Paris",1.8 miles,8.5,744 reviews,https://www.booking.com//hotel/fr/citadines-aparthotel-maine-montparnasse.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
736,Hôtel & Spa de Latour Maubourg,"7th arr., Paris",1.9 miles,8.4,10 reviews,https://www.booking.com//hotel/fr/latour-maubourg.html?from=searchresults;#hotelTmpl
737,Aparthotel Adagio Paris XV,"15th arr., Paris",3.1 miles,7.6,"1,389 reviews",https://www.booking.com//hotel/fr/parisxv.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
738,Helvetia,"12th arr., Paris",1.3 miles,8.3,"3,053 reviews",https://www.booking.com//hotel/fr/hevetia.html?from=searchresults;#hotelTmpl
739,My Open Paris,"12th arr., Paris",1.1 miles,9.1,41 reviews,https://www.booking.com//hotel/fr/my-open-paris.html?from=searchresults;#hotelTmpl
740,Novotel Paris Vaugirard Montparnasse,"15th arr., Paris",2.5 miles,8.0,"2,327 reviews",https://www.booking.com//hotel/fr/novotel-paris-vaugirard.html?from=searchresults;#hotelTmpl
741,Dreamyflat - Apartment Marais,"3rd arr., Paris","2,450 feet",8.8,"1,736 reviews",https://www.booking.com//hotel/fr/flat-gestion-paris2.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
742,Hotel Chabrol Opera,"10th arr., Paris",1.4 miles,8.8,"1,943 reviews",https://www.booking.com//hotel/fr/chabrol-opera.html?from=searchresults;#hotelTmpl
743,Appartement Les Enfants Rouges,"3rd arr., Paris",0.6 miles,8.4,"1,007 reviews",https://www.booking.com//hotel/fr/appartement-les-enfants-rouges.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
744,New chic flat : Le Marais - Place des Vosges,"4th arr., Paris","3,100 feet",8.0,"1,132 reviews",https://www.booking.com//hotel/fr/chic-flat-le-marais-place-des-vosges-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
745,Hotel d'Amiens,"10th arr., Paris",1.6 miles,9.2,879 reviews,https://www.booking.com//hotel/fr/d-amiens.html?from=searchresults;#hotelTmpl
746,Private Apartment - Saint Michel - Cluny,"5th arr., Paris","2,600 feet",9.1,798 reviews,https://www.booking.com//hotel/fr/private-apartment-saint-michel-cluny.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
747,Welkeys - St Honore,"1st arr., Paris",1.1 miles,8.0,"1,769 reviews",https://www.booking.com//hotel/fr/welkeys-st-honore.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
748,"Pick a Flat - Virtue Boutique Apartments, Le Marais","3rd arr., Paris",0.7 miles,7.6,16 reviews,https://www.booking.com//hotel/fr/pick-a-flat-virtue-boutique-apartments-le-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
749,Hôtel du Cygne,"1st arr., Paris","2,450 feet",9.5,190 reviews,https://www.booking.com//hotel/fr/du-cygne-paris.html?from=searchresults;#hotelTmpl
750,Hotel de Paris Saint Georges,"9th arr., Paris",1.8 miles,7.7,"1,529 reviews",https://www.booking.com//hotel/fr/kyriad-montmartre.html?from=searchresults;#hotelTmpl
751,Stella Etoile,"17th arr., Paris",3 miles,8.8,444 reviews,https://www.booking.com//hotel/fr/stella.html?from=searchresults;#hotelTmpl
752,Hotel Delarc,"8th arr., Paris",2.2 miles,8.0,"1,347 reviews",https://www.booking.com//hotel/fr/royal-colisee.html?from=searchresults;#hotelTmpl
753,Residence Henri IV,"5th arr., Paris",0.6 miles,7.2,"1,921 reviews",https://www.booking.com//hotel/fr/henriiv.html?from=searchresults;#hotelTmpl
754,Hotel de Flore,"18th arr., Paris",2.5 miles,9.0,345 reviews,https://www.booking.com//hotel/fr/de-flore-paris.html?from=searchresults;#hotelTmpl
755,"Vintage, F3 avec terrasse, Villa Saint Charles","15th arr., Paris",3.1 miles,8.4,"1,056 reviews",https://www.booking.com//hotel/fr/vintage-f3-avec-terrasse-villa-saint-charles.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
756,Hôtel Barrière Le Fouquet's,"8th arr., Paris",2.5 miles,8.6,74 reviews,https://www.booking.com//hotel/fr/fouquet-s-barriere-paris.html?from=searchresults;#hotelTmpl
757,Bonaparte Studio,"6th arr., Paris",0.8 miles,7.5,56 reviews,https://www.booking.com//hotel/fr/bonaparte-studio.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
758,Furnished Apartment near Eiffel Tower,"8th arr., Paris",2.5 miles,8.3,978 reviews,https://www.booking.com//hotel/fr/furnished-apartment-near-eiffel-tower.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
759,Le Belleval,"8th arr., Paris",1.9 miles,7.8,"1,081 reviews",https://www.booking.com//hotel/fr/le-belleval.html?from=searchresults;#hotelTmpl
760,Louvre Parisian ChicSuites,"1st arr., Paris",0.7 miles,8.0,"2,893 reviews",https://www.booking.com//hotel/fr/louvre-parisian.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
761,Ibis Styles Paris Bastille,"12th arr., Paris",1.1 miles,9.4,130 reviews,https://www.booking.com//hotel/fr/jules-cesar-paris.html?from=searchresults;#hotelTmpl
762,Hôtel le 209 Paris Bercy,"12th arr., Paris",2.1 miles,8.2,"1,021 reviews",https://www.booking.com//hotel/fr/kyriad-prestige-paris-le-209.html?from=searchresults;#hotelTmpl
763,Charming apartment Paris center,"2nd arr., Paris",0.7 miles,8.3,28 reviews,https://www.booking.com//hotel/fr/luxury-2-bedroom-montorgueil.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
764,Moxy Paris Bastille,"11th arr., Paris",0.9 miles,8.3,64 reviews,https://www.booking.com//hotel/fr/moxy-paris-bastille.html?from=searchresults;#hotelTmpl
765,Residhotel Imperial Rennequin,"17th arr., Paris",3 miles,9.3,177 reviews,https://www.booking.com//hotel/fr/residhotel-imperial-rennequin.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
766,Elysées Ceramic,"8th arr., Paris",2.8 miles,7.9,28 reviews,https://www.booking.com//hotel/fr/hotelelyseesceramic.html?from=searchresults;#hotelTmpl
767,Hotel Saint-Louis Marais,"4th arr., Paris",0.7 miles,8.8,"1,418 reviews",https://www.booking.com//hotel/fr/saint-louis-marais.html?from=searchresults;#hotelTmpl
768,Hotel Excelsior,"10th arr., Paris",0.9 miles,8.4,"1,197 reviews",https://www.booking.com//hotel/fr/excelsior.html?from=searchresults;#hotelTmpl
769,ibis Paris Montmartre 18ème,"18th arr., Paris",2.2 miles,8.0,36 reviews,https://www.booking.com//hotel/fr/ibis-paris-montmartre.html?from=searchresults;#hotelTmpl
770,Best Western Premier Hotel Littéraire Le Swann,"8th arr., Paris",2.1 miles,8.0,"1,180 reviews",https://www.booking.com//hotel/fr/best-western-premier-litteraire-le-swann.html?from=searchresults;#hotelTmpl
771,"Quartier Montorgueil, voie piétonne, dans un immeuble du XVème","2nd arr., Paris",0.6 miles,7.6,48 reviews,https://www.booking.com//hotel/fr/quartier-montorgueil-voie-pietonne-dans-un-immeuble-du-xveme.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
772,Royal Garden Champs Elysées,"8th arr., Paris",2.5 miles,8.1,"1,012 reviews",https://www.booking.com//hotel/fr/gtsainthonore.html?from=searchresults;#hotelTmpl
773,Hotel Alhambra,"11th arr., Paris",1 miles,8.5,"1,349 reviews",https://www.booking.com//hotel/fr/alhambra-paris.html?from=searchresults;#hotelTmpl
774,Montparnasse Studio Deluxe,"14th arr., Paris",1.5 miles,7.2,36 reviews,https://www.booking.com//hotel/fr/montparnasse-studio-deluxe.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
775,Oceania Paris Porte De Versailles,"15th arr., Paris",3.1 miles,8.7,22 reviews,https://www.booking.com//hotel/fr/hotel-oceania-porte-de-versailles.html?from=searchresults;#hotelTmpl
776,Grand Hôtel de L'Univers Saint-Germain,"6th arr., Paris",0.7 miles,8.3,632 reviews,https://www.booking.com//hotel/fr/grand-hotel-de-lunivers.html?from=searchresults;#hotelTmpl
777,Atlantic Hotel,"8th arr., Paris",1.9 miles,7.4,860 reviews,https://www.booking.com//hotel/fr/atlantic-paris.html?from=searchresults;#hotelTmpl
778,Hotel Pilime,"9th arr., Paris",2.1 miles,8.6,687 reviews,https://www.booking.com//hotel/fr/hotelauroremontmartre.html?from=searchresults;#hotelTmpl
779,Best Western Paris Italie,"13th arr., Paris",1.9 miles,9.7,89 reviews,https://www.booking.com//hotel/fr/best-western-de-weha.html?from=searchresults;#hotelTmpl
780,Hotel Le Petit Chomel,"7th arr., Paris",1.2 miles,8.7,"1,453 reviews",https://www.booking.com//hotel/fr/chomel.html?from=searchresults;#hotelTmpl
781,Le 123 Sébastopol - Astotel,"2nd arr., Paris",0.8 miles,8.8,523 reviews,https://www.booking.com//hotel/fr/le-123-sa-c-bastopol.html?from=searchresults;#hotelTmpl
782,Warwick Paris (Former Warwick Champs-Elysees),"8th arr., Paris",2.5 miles,8.6,"2,359 reviews",https://www.booking.com//hotel/fr/warwickchampselysees.html?from=searchresults;#hotelTmpl
783,Comfy and design studio - Marais district,"3rd arr., Paris",0.8 miles,7.7,906 reviews,https://www.booking.com//hotel/fr/comfy-and-design-studio-marais-district-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
784,Maison Lepic Montmartre,"18th arr., Paris",2.2 miles,7.9,"1,679 reviews",https://www.booking.com//hotel/fr/maison-lepic-montmartre.html?from=searchresults;#hotelTmpl
785,Best Western Amiral Hotel,"13th arr., Paris",2.2 miles,7.9,14 reviews,https://www.booking.com//hotel/fr/amiral.html?from=searchresults;#hotelTmpl
786,Le Pavillon Hotel,"7th arr., Paris",2 miles,8.2,"1,385 reviews",https://www.booking.com//hotel/fr/le-pavillon.html?from=searchresults;#hotelTmpl
787,Royal Saint Michel,"5th arr., Paris","2,300 feet",7.3,269 reviews,https://www.booking.com//hotel/fr/royal-saint-michel.html?from=searchresults;#hotelTmpl
788,Forest Hill Paris la Villette,"19th arr., Paris",3.1 miles,8.0,"1,933 reviews",https://www.booking.com//hotel/fr/paris-la-villette.html?from=searchresults;#hotelTmpl
789,A Room In Paris,"10th arr., Paris",1.5 miles,8.1,"1,696 reviews",https://www.booking.com//hotel/fr/a-room-in-paris.html?from=searchresults;#hotelTmpl
790,Hotel de L'Esperance,"5th arr., Paris",1.3 miles,7.8,952 reviews,https://www.booking.com//hotel/fr/de-l-39-esperance.html?from=searchresults;#hotelTmpl
791,Residence Tour Eiffel Champs de Mars,"7th arr., Paris",2.2 miles,7.9,"1,128 reviews",https://www.booking.com//hotel/fr/magnifique-appartement-tour-eiffel-champs-de-mars.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
792,40-Flat Paris Eiffel,"2nd arr., Paris",0.8 miles,8.8,31 reviews,https://www.booking.com//hotel/fr/flat-paris-eiffel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
793,Daunou Opéra,"2nd arr., Paris",1.2 miles,8.7,475 reviews,https://www.booking.com//hotel/fr/daunou-opera.html?from=searchresults;#hotelTmpl
794,Timhotel Odessa Montparnasse,"14th arr., Paris",1.6 miles,7.1,"2,290 reviews",https://www.booking.com//hotel/fr/le-michel-montparnasse.html?from=searchresults;#hotelTmpl
795,Odalys City Paris XVII,"17th arr., Paris",3.1 miles,9.3,162 reviews,https://www.booking.com//hotel/fr/appart-39-odalys-paris-xvii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
796,Le Bristol Paris - an Oetker Collection Hotel,"8th arr., Paris",2 miles,8.4,43 reviews,https://www.booking.com//hotel/fr/le-bristol-paris.html?from=searchresults;#hotelTmpl
797,Hôtel Le M,"14th arr., Paris",1.7 miles,9.0,333 reviews,https://www.booking.com//hotel/fr/abba-montparnasse.html?from=searchresults;#hotelTmpl
798,Lauriston Studio,"16th arr., Paris",3 miles,7.9,"1,769 reviews",https://www.booking.com//hotel/fr/lauriston-studio.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
799,Paris Center Tournelle Suite - 5 guests,"4th arr., Paris",0.7 miles,8.7,50 reviews,https://www.booking.com//hotel/fr/cosy-suite-place-des-vosges.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
800,Saint James Paris,"16th arr., Paris",3.1 miles,8.5,303 reviews,https://www.booking.com//hotel/fr/saint-james-paris.html?from=searchresults;#hotelTmpl
801,15 Atelier Montorgueil Super Héros,"2nd arr., Paris",0.7 miles,8.7,"1,173 reviews",https://www.booking.com//hotel/fr/atelier-montorgueil-super-hero.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
802,Hôtel Albe Saint Michel,"5th arr., Paris","2,150 feet",8.5,"1,659 reviews",https://www.booking.com//hotel/fr/hotelalbe.html?from=searchresults;#hotelTmpl
803,Hotel Armoni Paris,"17th arr., Paris",3.1 miles,7.2,41 reviews,https://www.booking.com//hotel/fr/armoni-paris.html?from=searchresults;#hotelTmpl
804,SUITE GREG,"2nd arr., Paris",0.7 miles,8.6,"1,521 reviews",https://www.booking.com//hotel/fr/suite-greg.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
805,Dreamyflat - Bastille,"11th arr., Paris",1 miles,9.3,124 reviews,https://www.booking.com//hotel/fr/dreamyflat-com-bastille.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
806,Hôtel Soft,"10th arr., Paris",1.2 miles,8.0,"2,571 reviews",https://www.booking.com//hotel/fr/soft.html?from=searchresults;#hotelTmpl
807,Sweet Inn - Monsigny,"2nd arr., Paris",1.1 miles,9.2,75 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartments-monsigny.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
808,Little Palace Hotel,"3rd arr., Paris",0.8 miles,7.1,"1,346 reviews",https://www.booking.com//hotel/fr/tulipinnlittlepalace.html?from=searchresults;#hotelTmpl
809,Pullman Paris Centre - Bercy,"12th arr., Paris",2.4 miles,8.8,964 reviews,https://www.booking.com//hotel/fr/pullman-paris-bercy.html?from=searchresults;#hotelTmpl
810,Cosy Apartment - Triangle D'or,"8th arr., Paris",2.2 miles,8.2,818 reviews,https://www.booking.com//hotel/fr/cosy-apartment-rue-de-l-39-etoile.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
811,Sweet Inn -Louvre,"1st arr., Paris",0.7 miles,8.4,"1,285 reviews",https://www.booking.com//hotel/fr/sweet-inn-apartments-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
812,Hotel Jenner,"13th arr., Paris",1.6 miles,9.6,105 reviews,https://www.booking.com//hotel/fr/jenner.html?from=searchresults;#hotelTmpl
813,Hotel Carlton's Montmartre,"9th arr., Paris",1.8 miles,8.1,"1,734 reviews",https://www.booking.com//hotel/fr/carlton-paris.html?from=searchresults;#hotelTmpl
814,"Hotel Banke Opera, Autograph Collection","9th arr., Paris",1.4 miles,8.3,"1,179 reviews",https://www.booking.com//hotel/fr/banke.html?from=searchresults;#hotelTmpl
815,Paris 5 des murs chargés d'histoire,"5th arr., Paris","2,950 feet",8.8,269 reviews,https://www.booking.com//hotel/fr/des-murs-charges-d-39-histoire.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
816,Hôtel de la Bourdonnais,"7th arr., Paris",2.1 miles,8.4,"1,222 reviews",https://www.booking.com//hotel/fr/de-la-bourdonnais.html?from=searchresults;#hotelTmpl
817,Résidence & Spa Le Prince Régent,"6th arr., Paris",0.7 miles,8.8,47 reviews,https://www.booking.com//hotel/fr/residence-le-regent.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
818,Terminus Orléans,"14th arr., Paris",2.6 miles,7.3,948 reviews,https://www.booking.com//hotel/fr/terminus-orleans-paris.html?from=searchresults;#hotelTmpl
819,Neptune,"13th arr., Paris",1.7 miles,8.3,706 reviews,https://www.booking.com//hotel/fr/neptune-paris.html?from=searchresults;#hotelTmpl
820,Best Western Premier Opéra Faubourg (Ex Hotel Jules),"9th arr., Paris",1.4 miles,8.2,"1,650 reviews",https://www.booking.com//hotel/fr/jules.html?from=searchresults;#hotelTmpl
821,"Montorgueil, Lovely & Charming Parisian apartment !","2nd arr., Paris",0.6 miles,8.0,"1,457 reviews",https://www.booking.com//hotel/fr/montorgueil-lovely-charming-parisian-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
822,Aparthotel Adagio Access Paris Reuilly,"12th arr., Paris",1.6 miles,8.6,"1,331 reviews",https://www.booking.com//hotel/fr/adagio-access-paris-reuilly.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
823,Sweet Inn - Brune,"14th arr., Paris",2.6 miles,9.6,45 reviews,https://www.booking.com//hotel/fr/maison-de-ville-i.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
824,Les Jardins Du Marais,"11th arr., Paris",0.8 miles,7.5,"1,387 reviews",https://www.booking.com//hotel/fr/les-jardins-du-marais.html?from=searchresults;#hotelTmpl
825,Citadines Place d'Italie Paris,"13th arr., Paris",1.8 miles,7.5,835 reviews,https://www.booking.com//hotel/fr/citadines-aparthotel-place-italie.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
826,Hôtel des Ducs D'Anjou,"1st arr., Paris","1,650 feet",7.4,9 reviews,https://www.booking.com//hotel/fr/hoteldesducsdanjou.html?from=searchresults;#hotelTmpl
827,Color Design Hotel,"12th arr., Paris",1.4 miles,8.5,22 reviews,https://www.booking.com//hotel/fr/relaislyonbastille.html?from=searchresults;#hotelTmpl
828,Paris on Water,"19th arr., Paris",2.2 miles,8.2,536 reviews,https://www.booking.com//hotel/fr/paris-on-water.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
829,Hôtel Juliana Paris,"7th arr., Paris",2.2 miles,7.9,559 reviews,https://www.booking.com//hotel/fr/le-juliana.html?from=searchresults;#hotelTmpl
830,Tipi,"14th arr., Paris",1.9 miles,6.9,"1,624 reviews",https://www.booking.com//hotel/fr/tipi.html?from=searchresults;#hotelTmpl
831,Splendide Royal Paris,"8th arr., Paris",1.9 miles,7.1,48 reviews,https://www.booking.com//hotel/fr/splendide-royal-paris.html?from=searchresults;#hotelTmpl
832,Sweet Inn -Etienne Marcel,"1st arr., Paris","3,100 feet",9.2,71 reviews,https://www.booking.com//hotel/fr/sweet-inn-apartment-etienne-marcel.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
833,Hôtel Du Jeu De Paume,"4th arr., Paris","2,150 feet",8.3,834 reviews,https://www.booking.com//hotel/fr/du-jeu-de-paume.html?from=searchresults;#hotelTmpl
834,Hotel du Collectionneur Arc de Triomphe,"8th arr., Paris",2.5 miles,7.4,266 reviews,https://www.booking.com//hotel/fr/collectionneur-arc-de-triomphe.html?from=searchresults;#hotelTmpl
835,Paris Appartements Services - Les Appartements du Louvre,"2nd arr., Paris",0.7 miles,8.2,24 reviews,https://www.booking.com//hotel/fr/les-appartements-du-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
836,HotelHome Paris 16,"16th arr., Paris",3.7 miles,8.7,"1,111 reviews",https://www.booking.com//hotel/fr/residencejasmin.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
837,Maison Albar Hotels Le Diamond,"8th arr., Paris",1.8 miles,8.6,130 reviews,https://www.booking.com//hotel/fr/opera-diamond.html?from=searchresults;#hotelTmpl
838,La Clef Tour Eiffel,"16th arr., Paris",2.9 miles,7.7,"2,190 reviews",https://www.booking.com//hotel/fr/ascott-arc-de-triomphe-paris.html?from=searchresults;#hotelTmpl
839,45-ATELIER PARIS BUTTES CHAUMONT,"19th arr., Paris",2.6 miles,8.9,910 reviews,https://www.booking.com//hotel/fr/45-atelier-paris-buttes-chaumont.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
840,Newhotel Roblin,"8th arr., Paris",1.6 miles,7.4,"2,770 reviews",https://www.booking.com//hotel/fr/newhotelroblin.html?from=searchresults;#hotelTmpl
841,Cozy Select,"13th arr., Paris",2 miles,8.4,252 reviews,https://www.booking.com//hotel/fr/cozy-glaciere-apartment.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
842,Grand Hôtel Amelot,"11th arr., Paris",0.8 miles,7.8,"1,195 reviews",https://www.booking.com//hotel/fr/grand-amelot-paris4.html?from=searchresults;#hotelTmpl
843,Marceau apartment,"16th arr., Paris",2.6 miles,9.0,88 reviews,https://www.booking.com//hotel/fr/marceau-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
844,Hotel Agora,"1st arr., Paris","1,950 feet",8.6,"1,173 reviews",https://www.booking.com//hotel/fr/agora-paris.html?from=searchresults;#hotelTmpl
845,Le Littré,"6th arr., Paris",1.5 miles,7.8,662 reviews,https://www.booking.com//hotel/fr/le-littre.html?from=searchresults;#hotelTmpl
846,Source Hôtel,"17th arr., Paris",3 miles,9.0,628 reviews,https://www.booking.com//hotel/fr/source.html?from=searchresults;#hotelTmpl
847,Hôtel Vaneau Saint Germain,"7th arr., Paris",1.5 miles,8.5,835 reviews,https://www.booking.com//hotel/fr/vaneau-saint-germain.html?from=searchresults;#hotelTmpl
848,Passerelle des Arts,"16th arr., Paris",3.1 miles,8.7,"2,138 reviews",https://www.booking.com//hotel/fr/passerelle-des-arts.html?from=searchresults;#hotelTmpl
849,Citadines Montmartre Paris,"18th arr., Paris",2.2 miles,8.4,837 reviews,https://www.booking.com//hotel/fr/citadines-aparthotel-montmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
850,Hôtel California Champs Elysées,"8th arr., Paris",2.4 miles,8.6,"1,788 reviews",https://www.booking.com//hotel/fr/california-champs-elysees.html?from=searchresults;#hotelTmpl
851,Korner Opera,"2nd arr., Paris",1 miles,8.5,"1,019 reviews",https://www.booking.com//hotel/fr/hotel-cyrnos.html?from=searchresults;#hotelTmpl
852,Hôtel Westminster,"2nd arr., Paris",1.3 miles,9.2,176 reviews,https://www.booking.com//hotel/fr/hotelwestminster.html?from=searchresults;#hotelTmpl
853,Résidence de l'Hôtel de l'Arcade,"8th arr., Paris",1.6 miles,8.4,"1,093 reviews",https://www.booking.com//hotel/fr/residence-de-l-39-de-l-39-arcade.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
854,Hotel Opéra Vivaldi,"9th arr., Paris",1.3 miles,7.8,610 reviews,https://www.booking.com//hotel/fr/royal-opera.html?from=searchresults;#hotelTmpl
855,Hotel Panache,"9th arr., Paris",1.2 miles,8.7,19 reviews,https://www.booking.com//hotel/fr/madrid-opera.html?from=searchresults;#hotelTmpl
856,Hotel Trianon Rive Gauche,"6th arr., Paris",0.7 miles,9.5,6 reviews,https://www.booking.com//hotel/fr/trianon-rive-gauche.html?from=searchresults;#hotelTmpl
857,Aparthotel Adagio Paris Bercy Village,"12th arr., Paris",2.4 miles,8.9,72 reviews,https://www.booking.com//hotel/fr/pvbercy.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
858,Jardins Eiffel,"7th arr., Paris",2 miles,7.8,"1,274 reviews",https://www.booking.com//hotel/fr/hoteljardinseiffel.html?from=searchresults;#hotelTmpl
859,Paris Canal Studio - Gare de l'Est,"10th arr., Paris",1.5 miles,8.4,273 reviews,https://www.booking.com//hotel/fr/paris-canal-studio.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
860,Best Western Le 18 Paris,"18th arr., Paris",2.8 miles,8.4,"1,029 reviews",https://www.booking.com//hotel/fr/best-western-plus-le-18-paris.html?from=searchresults;#hotelTmpl
861,Luxuous Penthouse front of Eiffel Tower and river,"8th arr., Paris",2.4 miles,9.0,142 reviews,https://www.booking.com//hotel/fr/luxuous-penthouse-front-of-eiffel-tower-and-river.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
862,Hôtel Kuntz,"10th arr., Paris",1.6 miles,8.0,"1,016 reviews",https://www.booking.com//hotel/fr/kuntz.html?from=searchresults;#hotelTmpl
863,Stunning Renovated Flat,"5th arr., Paris",1.2 miles,9.0,878 reviews,https://www.booking.com//hotel/fr/stunning-renovated-flat.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
864,Appartement Avenue Victor Hugo,"16th arr., Paris",3.1 miles,7.3,"1,236 reviews",https://www.booking.com//hotel/fr/residence-rennes.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
865,Zazie Hôtel,"12th arr., Paris",1.6 miles,9.1,"1,995 reviews",https://www.booking.com//hotel/fr/mistral-paris1.html?from=searchresults;#hotelTmpl
